# stan_version_major = 2
# stan_version_minor = 26
# stan_version_patch = 1
# model = bern_1_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 4
# data
#   file = /var/folders/fn/y98bp0qn4wggf910v31fp44c0000gp/T/tmpwehwblp5/cgt70msg.json
# init = 2 (Default)
# random
#   seed = 68769
# output
#   file = /Users/dominikwozniak/study/data_analytics/results/bern_1-20220305105506_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# stanc_version = stanc3 v2.26.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.09977
# Diagonal elements of inverse mass matrix:
# 0.254165
-11.0703,0.885774,1.09977,2,3,0,12.8221,0.50524
-11.0141,1,1.09977,1,1,0,11.0605,0.523467
-11.2617,0.865052,1.09977,2,3,0,11.7515,0.655624
-11.408,0.960706,1.09977,1,1,0,11.466,0.675372
-11.0416,0.91809,1.09977,2,3,0,12.0535,0.513686
-12.506,0.585215,1.09977,2,3,0,13.8764,0.347202
-11.5245,1,1.09977,1,1,0,12.2689,0.430705
-11.0625,1,1.09977,1,1,0,11.3833,0.507396
-11.0914,0.991167,1.09977,1,1,0,11.1163,0.499744
-10.9836,0.905346,1.09977,2,3,0,11.5988,0.58631
-11.2688,0.947058,1.09977,2,3,0,11.3526,0.465178
-11.0337,0.976843,1.09977,1,3,0,11.3878,0.608018
-11.0337,0.773653,1.09977,1,3,0,11.9654,0.608018
-11.3324,0.909334,1.09977,1,3,0,11.5366,0.455506
-11.3324,0.623772,1.09977,1,3,0,12.7757,0.455506
-10.9847,1,1.09977,1,3,0,11.233,0.537835
-11.0646,0.960436,1.09977,2,3,0,11.1947,0.61717
-11.2386,0.951435,1.09977,1,1,0,11.2465,0.652059
-10.981,1,1.09977,1,3,0,11.1699,0.584545
-11.0632,0.982035,1.09977,1,3,0,11.0632,0.61677
-11.1503,0.975227,1.09977,1,1,0,11.1657,0.636598
-11.073,1,1.09977,1,1,0,11.1472,0.619375
-11.7181,0.908886,1.09977,2,3,0,11.8188,0.409972
-11.0649,0.965536,1.09977,1,3,0,11.8786,0.61724
-11.0649,0.184851,1.09977,1,3,0,16.1003,0.61724
-11.1435,0.977603,1.09977,1,1,0,11.1604,0.63527
-11.0399,0.958829,1.09977,2,3,0,11.4468,0.610005
-11.1493,0.926119,1.09977,2,3,0,11.49,0.63641
-10.9997,0.967764,1.09977,2,3,0,11.3542,0.52968
-10.9826,1,1.09977,1,1,0,10.9974,0.539183
-10.9826,0.966697,1.09977,1,3,0,11.0824,0.539183
-10.9826,0.927966,1.09977,1,3,0,11.198,0.539183
-10.9874,0.998515,1.09977,1,1,0,10.9919,0.536142
-11.0479,0.981634,1.09977,1,1,0,11.0491,0.5117
-11.0479,0.945267,1.09977,1,1,0,11.1812,0.5117
-11.2422,0.94205,1.09977,1,1,0,11.248,0.469516
-11.7049,0.956339,1.09977,2,3,0,11.7347,0.411289
-13.0536,0.679621,1.09977,1,1,0,13.112,0.314533
-11.3019,1,1.09977,1,3,0,12.5352,0.460031
-11.05,1,1.09977,1,1,0,11.2282,0.511078
-12.7374,0.75088,1.09977,2,3,0,12.9851,0.775091
-13.1468,0.918387,1.09977,1,1,0,13.4843,0.794512
-11.3108,1,1.09977,2,3,0,12.7041,0.458692
-11.3579,0.566793,1.09977,2,3,0,14.1215,0.669093
-12.001,0.794059,1.09977,1,3,0,12.8846,0.384377
-13.3258,0.691427,1.09977,1,1,0,13.4444,0.300332
-11.0054,0.997105,1.09977,1,3,0,13.1739,0.597486
-10.9934,0.993495,1.09977,2,3,0,11.0525,0.532827
-11.1681,0.960341,1.09977,1,3,0,11.1681,0.482917
-11.0583,1,1.09977,2,3,0,11.1354,0.61542
-11.0583,0.89276,1.09977,1,1,0,11.3447,0.61542
-11.353,0.91948,1.09977,1,1,0,11.3544,0.668449
-11.2916,1,1.09977,1,1,0,11.4169,0.660037
-10.9926,0.967639,1.09977,2,3,0,11.5101,0.591432
-10.9664,1,1.09977,1,3,0,10.9854,0.569093
-11.0296,0.97909,1.09977,2,3,0,11.084,0.606661
-13.5076,0.631912,1.09977,2,3,0,14.2558,0.291458
-11.8635,1,1.09977,2,3,0,13.1231,0.719697
-11.2335,1,1.09977,1,1,0,11.702,0.651242
-11.083,1,1.09977,2,3,0,11.2042,0.621912
-11.4805,0.894114,1.09977,1,1,0,11.4815,0.683805
-11.2281,1,1.09977,2,3,0,11.4469,0.650379
-11.3635,0.963301,1.09977,1,1,0,11.4146,0.669818
-11.0763,1,1.09977,1,1,0,11.2857,0.620218
-11.9124,0.876971,1.09977,2,3,0,12.0669,0.391918
-11.2865,1,1.09977,1,1,0,11.7516,0.462383
-11.0859,1,1.09977,1,1,0,11.2384,0.501129
-11.1015,0.903472,1.09977,2,3,0,11.5909,0.49727
-11.6138,0.854998,1.09977,1,1,0,11.6163,0.420731
-13.2566,0.623956,1.09977,1,1,0,13.2827,0.303838
-12.3382,1,1.09977,1,1,0,13.2511,0.358629
-12.1582,1,1.09977,1,1,0,12.6081,0.37185
-11.4452,1,1.09977,1,1,0,12.0016,0.440294
-11.7122,0.92285,1.09977,1,1,0,11.8155,0.410556
-11.3595,1,1.09977,1,1,0,11.6748,0.451649
-10.9884,0.987171,1.09977,1,3,0,11.3774,0.589194
-11.2041,0.951533,1.09977,1,3,0,11.2062,0.646387
-11.2895,0.705858,1.09977,2,3,0,13.3379,0.461924
-11.0357,0.976046,1.09977,1,3,0,11.4115,0.608644
-10.9811,1,1.09977,1,1,0,11.0198,0.584656
-10.965,0.986941,1.09977,2,3,0,11.0495,0.562301
-10.965,0.938815,1.09977,1,3,0,11.1577,0.562301
-11.5002,0.853484,1.09977,2,3,0,11.8466,0.433563
-11.6158,0.965816,1.09977,1,1,0,11.7581,0.420515
-11.6522,0.996392,1.09977,2,3,0,11.8433,0.416671
-11.9048,0.92787,1.09977,1,1,0,12.0691,0.392587
-12.2089,0.971869,1.09977,2,3,0,12.4364,0.368015
-12.0808,1,1.09977,2,3,0,12.4813,0.377897
-11.9995,0.762918,1.09977,2,3,0,14.1774,0.730127
-10.9785,1,1.09977,2,3,0,11.9537,0.542077
-13.7184,0.417532,1.09977,1,3,0,14.523,0.817419
-13.7279,0.998252,1.09977,1,1,0,14.3642,0.817768
-11.8201,1,1.09977,1,1,0,13.2994,0.716158
-11.1843,1,1.09977,1,1,0,11.6501,0.642949
-11.1045,1,1.09977,1,1,0,11.1886,0.626998
-11.2946,0.981845,1.09977,2,3,0,11.2953,0.461137
-11.1287,0.769244,1.09977,2,3,0,12.7379,0.63226
-11.5504,0.889468,1.09977,1,1,0,11.5549,0.691311
-12.4977,0.790972,1.09977,1,1,0,12.5263,0.762171
-13.3372,0.838026,1.09977,1,1,0,13.5392,0.802617
-13.3729,0.993074,1.09977,1,1,0,13.9293,0.804083
-13.2119,0.844825,1.09977,2,3,0,16.5626,0.797343
-12.6174,1,1.09977,1,1,0,13.3598,0.76879
-11.9277,1,1.09977,1,1,0,12.5782,0.724735
-11.4075,1,1.09977,2,3,0,11.8359,0.675323
-11.0523,0.925736,1.09977,2,3,0,11.9663,0.51036
-11.0294,1,1.09977,1,1,0,11.0611,0.517755
-11.0294,0.837837,1.09977,1,3,0,11.5367,0.517755
-11.5202,0.923767,1.09977,2,3,0,11.5839,0.68813
-11.4823,1,1.09977,1,1,0,11.6467,0.684001
-12.8421,0.71438,1.09977,1,1,0,12.8447,0.780345
-11.8169,1,1.09977,2,3,0,12.6618,0.715899
-11.1733,1,1.09977,1,1,0,11.6434,0.640944
-10.9655,1,1.09977,1,3,0,11.1345,0.566111
-10.9655,0.338798,1.09977,1,3,0,14.172,0.566111
-10.9655,0.795174,1.09977,1,3,0,11.6805,0.566111
-10.9655,0.710017,1.09977,1,3,0,11.9849,0.566111
-10.9727,0.993626,1.09977,2,3,0,10.997,0.54712
-10.9651,0.99972,1.09977,2,3,0,10.9742,0.563807
-11.3152,0.915482,1.09977,2,3,0,11.4915,0.663364
-12.4519,0.736205,1.09977,2,3,0,13.7672,0.759547
-11.7388,1,1.09977,1,1,0,12.3628,0.709239
-12.9384,0.753286,1.09977,1,1,0,12.972,0.784995
-11.0167,0.947903,1.09977,1,3,0,13.0086,0.522444
-13.575,0.498142,1.09977,1,3,0,13.7407,0.288277
-11.5383,1,1.09977,1,1,0,12.9949,0.429108
-10.9999,0.982643,1.09977,1,3,0,11.5666,0.595019
-10.9999,0.638042,1.09977,1,3,0,12.4415,0.595019
-11.0463,0.986411,1.09977,1,1,0,11.0505,0.611956
-11.0244,1,1.09977,1,1,0,11.0536,0.604834
-11.1399,0.966973,1.09977,1,1,0,11.1442,0.634548
-11.1497,0.999076,1.09977,2,3,0,11.1987,0.636481
-12.0915,0.879852,1.09977,2,3,0,12.2132,0.377041
-11.3688,1,1.09977,1,1,0,11.9135,0.45036
-10.9862,0.987883,1.09977,1,3,0,11.3801,0.587915
-11.6759,0.862511,1.09977,2,3,0,11.9342,0.414217
-11.0449,1,1.09977,2,3,0,11.6127,0.611519
-11.2465,0.94372,1.09977,1,1,0,11.2495,0.65329
-11.0822,1,1.09977,1,1,0,11.2118,0.6217
-11.0985,0.998433,1.09977,2,3,0,11.1297,0.625615
-11.0985,0.75046,1.09977,1,3,0,12.2353,0.625615
-12.5186,0.644794,1.09977,1,3,0,13.1377,0.346377
-10.9772,1,1.09977,1,3,0,12.1677,0.543093
-10.9817,0.998623,1.09977,1,1,0,10.9847,0.539768
-11.0313,0.978538,1.09977,2,3,0,11.099,0.607202
-12.4812,0.762314,1.09977,2,3,0,12.9133,0.348847
-15.7697,0.435495,1.09977,1,1,0,15.8105,0.207842
-11.8552,1,1.09977,1,3,0,14.7194,0.397008
-11.8552,0.767072,1.09977,1,1,0,12.6475,0.397008
-11.2958,1,1.09977,2,3,0,11.7208,0.460951
-11.2958,0.418673,1.09977,2,3,0,14.9493,0.460951
-11.2958,0.949617,1.09977,1,1,0,11.4878,0.460951
-11.2702,1,1.09977,1,1,0,11.3768,0.464952
-12.3937,0.714263,1.09977,1,1,0,12.3983,0.354762
-12.3312,1,1.09977,1,1,0,12.7696,0.359122
-11.1592,1,1.09977,2,3,0,12.1651,0.638314
-10.9739,0.611503,1.09977,2,3,0,13.8672,0.578936
-12.7384,0.612438,1.09977,1,3,0,12.9937,0.775142
-12.3108,0.858574,1.09977,2,3,0,15.045,0.751096
